Name,Year,Rating
Ирландец,2019,8.3
Холодное сердце 2,2019,7.3
Достать ножи,2019,8.1
Однажды в... Голливуде,2019,7.9
Ford против Ferrari,2019,8.3
Джокер,2019,8.7
Звёздные войны: Скайуокер. Восход,2019,
Ангелы Чарли,2019,4.0
Я иду искать,2019,7.0
Стриптизёрши,2019,6.5
Прекрасный день по соседству,2019,7.9
Клаус,2019,8.4
Паразиты,2019,8.6
Мидуэй,2019,6.9
Доктор Сон,2019,7.6
Рождество на двоих,2019,6.6
Лапочка,2019,7.2
1917,2019,
21 мост,2019,6.6
Холодное сердце,2013,7.5
Рыцарь перед Рождеством,2019,5.5
Оно-2,2019,6.8
Король,2019,7.3
Падение ангела,2019,6.5
Blue Story,2019,5.2
Король Лев,2019,7.0
Маяк,2019,8.3
Квин и Слим,2019,6.7
Мстители: Финал,2019,8.5
Терминатор: Тёмные судьбы,2019,6.5
Рэмбо: Последняя кровь,2019,6.4
Cats,2019,
Гемини,2019,5.7
Леди и Бродяга,2019,6.4
Один дома,1990,7.6
Кролик Джоджо,2019,8.1
Маленькие женщины,2019,
Джуманджи: Новый уровень,2019,
Antebellum,2020,
Не время умирать,2020,
Мы,2019,6.9
Звёздные войны: Последние джедаи,2017,7.1
Арахисовый сокол,2019,7.7
Брачная история,2019,8.5
Пусть идёт снег,2019,5.8
Дело Ричарда Джуэлла,2019,7.9
Ноэль,2019,6.3
Отчёт о пытках,2019,7.2
Капитан Марвел,2019,6.9
Форсаж: Хоббс и Шоу,2019,6.5
Солнцестояние,2019,7.2
Хорошие ребята,2019,6.7
Славные парни,1990,8.7
Аббатство Даунтон,2019,7.7
National Lampoon's Christmas Vacation,1989,7.6
Хороший лжец,2019,6.5
Курьер,2019,4.4
Образование,2019,7.2
Звёздные войны. Эпизод 1: Скрытая угроза,1999,6.5
Хранители,2009,7.6
Крёстный отец,1972,9.2
Золотой компас,2007,6.1
Чёрная Вдова,2020,
Бриттани бежит марафон,2019,6.8
Скандал,2019,
Тёмные воды,2019,7.3
Оно,2017,7.3
История игрушек 4,2019,7.9
Дора и затерянный город,2019,6.0
Гарри Поттер и философский камень,2001,7.6
Человек-паук: Вдали от дома,2019,7.6
Джуманджи: Зов джунглей,2017,6.9
Yesterday,2019,6.9
Малефисента: Владычица тьмы,2019,7.0
Гринч,2018,6.3
Темный рыцарь,2008,9.0
Реальная любовь,2003,7.6
Emma,2020,
Звёздные войны. Эпизод 4: Новая надежда,1977,8.6
Zомбилэнд: Контрольный Выстрел,2019,7.2
Предвестник землетрясения,2019,5.9
Эверест,2019,7.0
Щегол,2019,6.3
Сияние,1980,8.4
Соник в кино,2020,
Один дома 2: Затерянный в Нью-Йорке,1992,6.7
Прачечная,2019,6.3
Зов предков,2020,
Хищные птицы,2020,
Сиротский Бруклин,2019,7.1
Бэтмен,2021,
Побег из Шоушенка,1994,9.3
Неогранённые драгоценности,2019,8.1
Изгой-один. Звёздные войны: Истории,2016,7.8
Аладдин,2019,7.1
Хан Соло: Звездные войны. Истории,2018,6.9
3022,2019,4.4
"Planes, Trains & Automobiles",1987,7.6
E.T. the Extra-Terrestrial,1982,7.8
Рокетмен,2019,7.4
